YB,l,b,r,dl,db,dr,hit rate
96,4.000051471,0.337639313,0.004952313,0.000938949,0.001361638,0.001498325,0.545454545
97,4.014450999,-0.034105823,0.002528332,0.000463276,0.000497172,0.000910566,0.382352941
98,4.144971064,-1.032935219,0.001906537,0.000367791,0.000307975,0.000715057,0.19047619
99,4.166939914,-0.187173142,0.002333018,0.000318246,0.000340523,0.00064309,0.43902439
100,4.195249064,-0.051305843,0.00383752,0.000677372,0.000431418,0.001021683,0.806451613
101,4.201830305,-0.028413637,0.002888198,0.000578323,0.001608763,0.001713818,0.742857143
102,4.2851269,0.03249735,0.00233485,0.000446841,0.00054196,0.000881005,0.304347826
103,4.332963268,-0.195332813,0.003157039,0.000277943,0.000513547,0.000678194,0.2
104,4.389266461,-0.358680289,0.003946063,0.001778923,0.000945472,0.001678095,0.193548387
105,4.400519656,-0.332653644,0.002510835,9.78E-05,0.000539881,0.000752182,0.178571429
106,4.402762393,-0.358423829,0.004167974,0.001328294,0.000271533,0.003481454,0.129032258
107,4.415523985,0.125639033,0.002771711,0.00047559,0.000538694,0.001239377,0.157894737
108,4.493305264,-0.949898386,0.002211993,0.000189413,0.000302975,0.000201137,0.193548387
109,4.499263932,-0.949862011,0.00205617,0.000351522,0.000405064,0.000282351,0.225806452
110,4.53312522,0.3614807,0.004778722,0.000646417,0.000492423,0.001866944,0.816326531
111,4.564817992,-0.129521848,0.003940951,0.000333113,0.000356217,0.000948432,0.142857143
112,4.610319405,0.179272841,0.002695707,0.000791599,0.000634015,0.001463623,0.486486486
113,4.716393147,-0.011474385,0.001938085,0.000217649,0.000253554,0.000628754,0.375
114,4.823156887,-0.074981552,0.001807395,0.000189638,0.000257244,0.000547636,0.21875
115,4.886872709,0.045221296,0.002107616,0.000305213,0.000570335,0.000970097,0.2
116,4.985417289,-1.390043464,0.00174353,0.000297467,0.000238265,0.000423379,0.230769231
117,5.033804599,0.141742885,0.003953904,0.000998065,0.000900582,0.003086096,0.162790698
118,5.037973341,0.143216887,0.00286555,0.000380722,0.000640458,0.000995141,0.255813953
119,5.0482606,-0.194286952,0.00396043,0.001284892,0.000905265,0.001932713,0.325581395
120,5.06016756,-0.274515762,0.002286534,0.000251191,0.000311123,0.001123675,0.290322581
121,5.065884093,-0.043484565,0.00200309,0.000270424,0.000384584,0.000720276,0.36
122,5.075599989,-0.093427428,0.002275719,8.11E-05,0.000793965,0.001191075,0.24
123,5.107032972,-0.107105488,0.002385255,0.000408878,0.000147367,0.000688536,0.24
124,5.175448497,0.233764397,0.004165585,0.000242282,0.000975272,0.001565523,0.185185185
125,5.186578979,-0.082574732,0.002961156,0.000429064,0.000505317,0.000829249,0.358974359
126,5.190226579,-0.283771418,0.004144094,0.000462717,0.000427801,0.001584653,0.780487805
127,5.204252754,-0.036484591,0.002311267,0.000139482,0.000377387,0.000756462,0.157894737
128,5.305111102,-0.009479675,0.001992694,0.000305071,0.0005984,0.000452329,0.127272727
129,5.305652796,0.066112394,0.001987082,0.000245136,0.000118303,0.000338785,0.15625
130,5.310109036,0.070987536,0.002195073,0.00032438,0.000773925,0.000825707,0.28125
131,5.402021668,-0.271454444,0.004327344,0.000783715,0.000595002,0.001751958,0.342857143
132,5.475547599,-0.244474286,0.003612159,0.0006374,0.001035438,0.001285839,0.435897436
133,5.493276956,-0.103363093,0.002473511,0.000363809,0.000421406,0.000675831,0.388888889
134,5.528547726,0.139237553,0.002642246,0.000334576,0.000624168,0.001190197,0.4
135,5.544084716,-0.213412428,0.002409048,0.000472927,0.000250287,0.000537642,0.189189189
136,5.585344251,-0.379394949,0.004537695,0.000592437,0.000674294,0.001946931,0.647887324
137,5.590378474,-0.243614775,0.002859019,0.000340625,0.000463632,0.001027567,0.522727273
138,5.629761883,-0.292747463,0.004892859,0.00088368,0.0008105,0.001858449,0.588235294
139,5.63329979,0.239131249,0.005175507,0.000591636,0.001083239,0.001949189,0.836734694
140,5.706008552,-0.12659597,0.006159852,0.000783416,0.001135203,0.003708088,0.442307692
141,5.836503814,-0.513830094,0.003062772,0.000412402,0.00067986,0.001324316,0.227272727
142,5.841939895,-0.515627908,0.005450366,0.000519735,0.0007512,0.001994185,0.454545455
143,5.855313698,0.355007695,0.004476662,0.00031112,0.000326263,0.000687072,0.260869565
144,5.867890675,0.523250091,0.002893435,0.000359914,0.000495069,0.001071819,0.21875
145,5.882788179,-0.397958234,0.003868315,0.000610678,0.001166778,0.002215291,0.421052632
146,5.885140712,-0.606357732,0.002234503,0.000452003,0.000516699,0.0006617,0.382352941
147,5.892527991,-0.290668936,0.002943085,0.000428041,0.000462565,0.001163451,0.269230769
148,5.897463646,-0.442152036,0.003738205,0.000554049,0.000533784,0.001027362,0.490909091
149,5.903745541,-0.357690434,0.003620786,0.000472465,0.000395779,0.000900552,0.428571429
150,5.905821677,0.094460989,0.00377203,0.000554131,0.000251435,0.002949089,0.428571429
151,5.931169918,-0.084324707,0.002568404,0.000445488,0.00034599,0.000922802,0.631578947
152,5.944591473,-0.137650249,0.005526861,0.000552177,0.001083085,0.002386559,0.744186047
153,6.044407915,0.316149179,0.003877035,0.000838894,0.000719582,0.001765275,0.451612903
154,6.126476068,-0.629668198,0.001804818,0.000306132,0.000393936,0.000301894,0.195652174
155,6.157553195,-0.070844578,0.003485866,0.000565216,0.000602324,0.001212648,0.3
156,6.191131969,-0.363940912,0.003169642,0.00038806,0.000574099,0.001213498,0.6
157,6.218108049,-0.582879279,0.002816756,0.000282103,0.000803751,0.000901546,0.259259259
158,6.222309787,-0.046731695,0.002266626,0.000338134,0.00036367,0.000671188,0.647058824
159,6.259562786,-0.281795907,0.003035295,0.000403299,0.000404897,0.000785205,0.636363636
160,6.344553133,-0.01274757,0.002416392,0.000296733,0.000446732,0.001076137,0.138888889
161,6.3589344,-0.82353885,0.002857283,0.000406499,0.000514997,0.000576472,0.24137931
162,6.364533763,-0.053770888,0.004824657,0.000730234,0.001036148,0.001516477,0.609756098
163,6.552608318,-0.094379684,0.005170339,0.000516055,0.000986537,0.001819913,0.657142857
164,6.590317814,0.246113354,0.002526111,0.000294894,0.000289596,0.001370011,0.258064516
165,6.614399238,0.138618894,0.002827105,0.000395444,0.000530417,0.000694197,0.625
166,6.786257719,0.226324163,0.004517811,0.000555411,0.000584796,0.000855765,0.681818182
167,6.787389665,-0.018396582,0.001884238,0.000327126,0.000268915,0.00076952,0.189189189
168,6.824553309,-0.019487104,0.002564022,0.00021926,0.000259808,0.000760643,0.432432432
169,6.825967715,-0.221818604,0.002249659,0.000148047,0.000336048,0.000973639,0.2
170,6.836510082,0.022060727,0.002040649,0.000323009,0.000728892,0.001124012,0.178571429
171,6.930741846,0.165749415,0.003320546,0.000462866,0.000520214,0.001267803,0.578947368
172,6.978418431,-0.088710423,0.002571779,0.000287991,0.00041431,0.000397095,0.222222222
173,6.989129252,0.194013682,0.00209907,0.000171624,0.00034623,0.000663167,0.36
174,7.009733881,0.734618826,0.002734727,0.000283607,0.000524536,0.000754935,0.40625
175,7.011050311,-0.254626187,0.007719215,0.000734457,0.000991666,0.001368096,0.162162162
176,7.014544598,-0.252183655,0.003335549,0.000429385,0.000492769,0.000771976,0.243243243
177,7.033384943,0.725450634,0.003380754,0.00041015,0.000869695,0.001285435,0.25
178,7.033511897,0.74870386,0.002086682,0.00028078,0.000259433,0.000797017,0.277777778
179,7.115920375,0.719917344,0.002744025,0.000429558,0.000332388,0.001314379,0.363636364
180,7.177079551,0.08488821,0.003596268,0.000371234,0.000268982,0.001472988,0.222222222
181,7.206223165,0.2423116,0.005311304,0.000892876,0.000913935,0.001900639,0.5
182,7.256843434,0.566852566,0.002567457,0.000462296,0.000383001,0.000800524,0.685714286
183,7.260670988,-0.51796226,0.003787856,0.000517852,0.000363966,0.000616048,0.578947368
184,7.262066215,-0.534141522,0.00221389,0.000244876,0.000308791,0.000740338,0.375
185,7.265817792,0.184783361,0.004113196,0.000843043,0.000986433,0.002425994,0.285714286
186,7.290237062,-0.174114524,0.003674918,0.000420587,0.000417175,0.000948654,0.75
187,7.31741907,0.034183738,0.00303205,0.000487681,0.000503841,0.001061929,0.3125
188,7.350849109,0.033894375,0.007102769,0.000653613,0.000956221,0.002426954,0.151515152
189,7.398654376,-0.160937868,0.002114045,0.000431242,0.000505618,0.001058856,0.346938776
190,7.420144697,0.366369688,0.00374511,0.000659066,0.000483452,0.001342806,0.614035088
191,7.425853201,0.287364605,0.002682803,0.000588743,0.000406323,0.000860229,0.64516129
192,7.4379514,0.383050138,0.002336762,0.000657872,0.00037073,0.000606399,0.175
193,7.446691362,-0.16217658,0.004045824,0.000778573,0.000382923,0.001489659,0.088235294
194,7.470070584,0.06384913,0.001842387,0.000149144,0.00042128,0.000238332,0.11627907
195,7.470614498,0.058455446,0.005325074,0.000883525,0.001616274,0.002413876,0.837209302
196,7.473645483,0.063995476,0.002032493,0.000560726,0.000345034,0.000417251,0.255813953
197,7.475464812,0.611394844,0.002175799,0.00049442,0.000347653,0.00058252,0.321428571
198,7.506389888,0.401140318,0.003857846,0.000821312,0.000811141,0.001259225,0.738095238
199,7.508560734,-0.226505081,0.002538656,0.000389867,0.000528546,0.000873909,0.512820513
200,7.517189201,0.201433614,0.002282254,0.000257782,0.00012715,0.000574981,0.192307692
