YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
3319,296.1288866,-0.826558053,0.0521,0.0089,5,0,0.0215,0.0033,5,0,0.042,0.0039,5,0,0.4619,0.0225,5,0
3320,296.2051131,-0.11063259,0.0121,0.0015,5,0,0.0021,0.0008,5,0,0.0031,0.0016,5,0,0.0679,0.0208,5,0
3321,296.2466713,-0.868187065,0.0604,0.0293,5,0,0.0302,0.0093,5,0,0.1797,0.0198,5,0,1.6081,0.1623,5,0
3322,296.2667061,-0.660758568,0.4068,0.0489,5,0,0.1313,0.013,5,0,0.4346,0.0681,5,0,18.0951,0.7026,5,0
3323,296.2731408,-0.386692075,0.9975,0.0602,5,0,0.2817,0.0454,5,0,2.966,0.1572,5,0,36.4901,1.4301,5,0
3324,296.3105279,-0.894780167,0.1358,0.0223,5,0,0.064,0.0122,5,0,0.0736,0.0187,3,0,1.1631,0.0708,5,0
3325,296.319141,-0.72051211,0.0836,0.0122,5,0,0.0445,0.0052,5,0,0.0557,0.0079,5,0,0.9324,0.0913,5,0
3326,296.3212563,-0.548567397,0.1613,0.0377,5,0,0.0618,0.0099,5,0,0.2327,0.0223,5,0,2.6519,0.3145,5,0
3327,296.3504815,-0.519027452,0.6387,0.0409,5,0,0.2534,0.0264,5,0,0.413,0.0277,5,0,8.1645,0.5592,5,0
3328,296.3716962,-0.732089227,0.2029,0.0355,5,0,0.0746,0.0122,5,0,0.1294,0.0179,5,0,1.5481,0.197,5,0
3329,296.431999,-0.887377181,0.1259,0.0368,5,0,0.0403,0.0184,5,0,0.0759,0.0253,5,0,1.4039,0.4521,5,0
3330,296.4577478,-0.662512659,0.0536,0.0071,5,0,0.0233,0.0073,5,0,0.0309,0.0055,5,0,1.4172,0.1113,5,0
